"filename", "language", "Handlebars", "JavaScript", "SCSS", "JSON", "CSS", "Ini", "comment", "blank", "total"
"c:\Users\B A T  M A C H I N E\Dropbox\The Alpha Project\Smart_Care_Neutration_v2.0.1\views\home\alpha-push.handlebars", "Handlebars", 118, 0, 0, 0, 0, 0, 0, 21, 139
"c:\Users\B A T  M A C H I N E\Dropbox\The Alpha Project\Smart_Care_Neutration_v2.0.1\views\home\alpha-whey.handlebars", "Handlebars", 149, 0, 0, 0, 0, 0, 0, 22, 171
"c:\Users\B A T  M A C H I N E\Dropbox\The Alpha Project\Smart_Care_Neutration_v2.0.1\views\home\aviso-legal.handlebars", "Handlebars", 7, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\B A T  M A C H I N E\Dropbox\The Alpha Project\Smart_Care_Neutration_v2.0.1\views\home\checkout-quantity.handlebars", "Handlebars", 38, 0, 0, 0, 0, 0, 9, 10, 57
"c:\Users\B A T  M A C H I N E\Dropbox\The Alpha Project\Smart_Care_Neutration_v2.0.1\views\home\checkout.handlebars", "Handlebars", 113, 0, 0, 0, 0, 0, 2, 19, 134
"c:\Users\B A T  M A C H I N E\Dropbox\The Alpha Project\Smart_Care_Neutration_v2.0.1\views\home\contacto.handlebars", "Handlebars", 7, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\B A T  M A C H I N E\Dropbox\The Alpha Project\Smart_Care_Neutration_v2.0.1\views\home\landing.handlebars", "Handlebars", 104, 0, 0, 0, 0, 0, 0, 44, 148
"c:\Users\B A T  M A C H I N E\Dropbox\The Alpha Project\Smart_Care_Neutration_v2.0.1\views\home\login.handlebars", "Handlebars", 15, 0, 0, 0, 0, 0, 0, 12, 27
"c:\Users\B A T  M A C H I N E\Dropbox\The Alpha Project\Smart_Care_Neutration_v2.0.1\views\home\my-orders.handlebars", "Handlebars", 14, 0, 0, 0, 0, 0, 0, 11, 25
"c:\Users\B A T  M A C H I N E\Dropbox\The Alpha Project\Smart_Care_Neutration_v2.0.1\views\home\politica-de-cookies.handlebars", "Handlebars", 147, 0, 0, 0, 0, 0, 0, 7, 154
"c:\Users\B A T  M A C H I N E\Dropbox\The Alpha Project\Smart_Care_Neutration_v2.0.1\views\home\privacidad.handlebars", "Handlebars", 8, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\B A T  M A C H I N E\Dropbox\The Alpha Project\Smart_Care_Neutration_v2.0.1\views\home\success.handlebars", "Handlebars", 10, 0, 0, 0, 0, 0, 0, 10, 20
"c:\Users\B A T  M A C H I N E\Dropbox\The Alpha Project\Smart_Care_Neutration_v2.0.1\views\home\user-dashboard.handlebars", "Handlebars", 30, 0, 0, 0, 0, 0, 0, 12, 42
"c:\Users\B A T  M A C H I N E\Dropbox\The Alpha Project\Smart_Care_Neutration_v2.0.1\views\layouts\admin.handlebars", "Handlebars", 45, 0, 0, 0, 0, 0, 0, 17, 62
"c:\Users\B A T  M A C H I N E\Dropbox\The Alpha Project\Smart_Care_Neutration_v2.0.1\views\layouts\home.handlebars", "Handlebars", 33, 0, 0, 0, 0, 0, 0, 19, 52
"c:\Users\B A T  M A C H I N E\Dropbox\The Alpha Project\Smart_Care_Neutration_v2.0.1\views\partials\admin\admin-sidenav.handlebars", "Handlebars", 48, 0, 0, 0, 0, 0, 1, 6, 55
"c:\Users\B A T  M A C H I N E\Dropbox\The Alpha Project\Smart_Care_Neutration_v2.0.1\views\partials\admin\footer.handlebars", "Handlebars", 8, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\B A T  M A C H I N E\Dropbox\The Alpha Project\Smart_Care_Neutration_v2.0.1\views\partials\home\footer.handlebars", "Handlebars", 17, 0, 0, 0, 0, 0, 1, 0, 18
"c:\Users\B A T  M A C H I N E\Dropbox\The Alpha Project\Smart_Care_Neutration_v2.0.1\views\partials\home\form-msgs.handlebars", "Handlebars", 11, 0, 0, 0, 0, 0, 0, 15, 26
"c:\Users\B A T  M A C H I N E\Dropbox\The Alpha Project\Smart_Care_Neutration_v2.0.1\views\partials\home\home-nav.handlebars", "Handlebars", 96, 0, 0, 0, 0, 0, 3, 28, 127
"Total", "-", 1501, 729, 1625, 3002, 1498, 0, 274, 1388, 10017
